Frequency (MHz),Intensity
16408.0,2.7642630699549618e-05
16408.001,0.00025401437049159145
16408.002,1.100463294307914e-05
16408.003,0.0001203745025068509
16408.004,4.566564974635649e-05
16408.005,2.2245643177538706e-05
16408.006,4.402525147024088e-05
16408.007,3.0494797097665508e-05
16408.008,2.353229442709555e-05
16408.009000000002,3.681144210723321e-05
16408.010000000002,3.403773726225098e-05
16408.011000000002,1.4475541311486496e-05
16408.012000000002,1.8266078896701915e-06
16408.013000000003,0.0002595864123737892
16408.014000000003,4.751088151943055e-06
16408.015000000003,1.2564801449093831e-05
16408.016000000003,1.7293994948714205e-05
16408.017000000003,0.00012715844861698229
16408.018000000004,9.013254454145252e-05
16408.019000000004,0.00021145265366483772
16408.020000000004,0.00047023534163856894
16408.021000000004,0.0005046329219027019
16408.022000000004,2.8252351248633604e-06
16408.023000000005,0.00014288656954470323
16408.024000000005,0.00015917365183290753
16408.025000000005,0.0001419330585239835
16408.026000000005,1.0433244274930553e-05
16408.027000000006,2.4677081089383134e-05
16408.028000000006,0.0005484203721152598
16408.029000000006,2.081602212392267e-06
16408.030000000006,3.563106823880806e-05
16408.031000000006,0.00018533744845950325
16408.032000000007,3.150392643041362e-05
16408.033000000007,1.1044097758759476e-05
16408.034000000007,0.00010305060277178523
16408.035000000007,0.0003909852531286741
16408.036000000007,0.00021297281595058083
16408.037000000008,4.764249993786251e-05
16408.038000000008,0.00011043347388794208
16408.039000000008,9.341807927666584e-05
16408.040000000008,0.00011831735350853363
16408.04100000001,1.0721878717771475e-06
16408.04200000001,0.00018980705601694687
16408.04300000001,0.0008527695972255212
16408.04400000001,8.79862762464415e-05
16408.04500000001,4.3758922390255996e-05
16408.04600000001,3.1026181747157035e-05
16408.04700000001,2.639577393715761e-05
16408.04800000001,1.285195569623233e-06
16408.04900000001,1.9586957678063433e-05
16408.05000000001,6.834057991145183e-05
16408.05100000001,3.2102202170478165e-05
16408.05200000001,3.602961265483282e-05
16408.05300000001,0.0001396495263895971
16408.05400000001,0.00011895943626917896
16408.05500000001,0.00028859175929300514
16408.05600000001,2.329364758920289e-05
16408.05700000001,8.239057857219157e-05
16408.05800000001,1.1276344866661307e-05
16408.059000000012,0.00020217601497835648
16408.060000000012,0.0001862127930050066
16408.061000000012,0.00010606281738355392
16408.062000000013,2.719779357405438e-06
16408.063000000013,0.00016025720564286457
16408.064000000013,5.048916167922523e-06
16408.065000000013,0.00014435336246811103
16408.066000000013,7.120331192623942e-05
16408.067000000014,7.5138142887664396e-06
16408.068000000014,1.050400921992749e-05
16408.069000000014,4.986308810672617e-06
16408.070000000014,3.184457043596045e-05
16408.071000000014,0.00017077591097932978
16408.072000000015,7.006731976666186e-05
16408.073000000015,2.2385944166926794e-05
16408.074000000015,5.751544427668805e-05
16408.075000000015,0.0001791368383388439
16408.076000000015,2.3970462358713662e-05
16408.077000000016,1.8814974315259386e-05
16408.078000000016,4.73436638612389e-05
16408.079000000016,1.1105013460720243e-05
16408.080000000016,4.268969056846414e-05
16408.081000000017,7.957731988847544e-05
16408.082000000017,4.038056134297981e-05
16408.083000000017,0.0008089044201648497
16408.084000000017,1.8708756773360572e-05
16408.085000000017,4.076573963062579e-06
16408.086000000018,1.7860299693843454e-05
16408.087000000018,1.076041567930176e-05
16408.088000000018,0.00012089541264193805
16408.089000000018,0.00038758910251935925
16408.09000000002,1.2374552408829502e-05
16408.09100000002,0.0003743641318682574
16408.09200000002,0.0001518624455573225
16408.09300000002,0.0001499769773221662
16408.09400000002,4.1444024959409856e-05
16408.09500000002,0.00011135359662909814
16408.09600000002,3.589487360406968e-05
16408.09700000002,0.00036439715332050806
16408.09800000002,3.674517711313362e-05
16408.09900000002,0.0002904544296654872
16408.10000000002,9.578110005361399e-05
16408.10100000002,2.8473195160154435e-05
16408.10200000002,2.8949643305247922e-05
16408.10300000002,4.205105206134009e-05
16408.10400000002,1.0571549731882426e-05
16408.10500000002,4.291192145391117e-05
16408.10600000002,1.0982768406395322e-05
16408.10700000002,0.00014973256489665207
16408.108000000022,0.00021446168867812784
16408.109000000022,0.000557886705682744
16408.110000000022,6.138880810460221e-05
16408.111000000023,5.423176481348188e-05
16408.112000000023,0.0001370373523217026
16408.113000000023,0.000553389142301432
16408.114000000023,0.00028907496965746565
16408.115000000023,3.873928474037008e-05
16408.116000000024,1.386706290953136e-06
16408.117000000024,0.0001715076174832755
16408.118000000024,0.000201400990396243
16408.119000000024,3.1046737348662237e-06
16408.120000000024,6.38872280469486e-05
16408.121000000025,3.7647441698142144e-06
16408.122000000025,8.02646264444202e-06
16408.123000000025,0.00010687888255381799
16408.124000000025,0.00022787571921126744
16408.125000000025,0.0001015079120910293
