Frequency (Ghz),Intensity
8.72030690886814,0.0
8.720307227368906,0.0
8.720307545869671,0.0
8.720307864370433,0.0
8.720308182871198,0.0
8.720308501371964,0.0
8.720308819872729,0.0
8.720309138373493,0.0
8.720309456874256,0.0
8.720309775375021,0.0
8.720310093875787,0.0
8.72031041237655,0.0
8.720310730877316,0.0
8.72031104937808,0.0
8.720311367878843,0.0
8.720311686379608,0.0
8.720312004880373,0.0
8.720312323381139,0.0
8.720312641881902,0.0
8.720312960382666,0.0
8.720313278883431,0.0
8.720313597384195,0.0
8.72031391588496,0.0
8.720314234385725,0.0
8.720314552886489,0.0
8.720314871387252,0.0
8.720315189888018,0.0
8.720315508388783,0.0
8.720315826889548,0.0
8.72031614539031,0.0
8.720316463891075,0.0
8.72031678239184,0.0
8.720317100892604,0.0
8.72031741939337,0.0
8.720317737894133,0.0
8.720318056394898,0.0
8.720318374895662,0.0
8.720318693396427,0.0
8.720319011897192,0.0
8.720319330397956,0.0
8.72031964889872,0.0
8.720319967399485,0.0
8.72032028590025,0.0
8.720320604401014,0.0
8.720320922901779,0.0
8.720321241402543,0.0
8.720321559903306,0.0
8.720321878404071,0.0
8.720322196904837,0.0
8.720322515405602,0.0
8.720322833906364,0.0
8.72032315240713,0.0
8.720323470907895,0.0
8.72032378940866,0.0
8.720324107909423,0.0
8.720324426410187,0.0
8.720324744910952,0.0
8.720325063411716,0.0
8.720325381912481,0.0
8.720325700413246,0.0
8.720326018914012,0.0
8.720326337414773,0.0
8.720326655915539,0.0
8.720326974416304,0.0
8.720327292917068,0.0
8.720327611417833,0.0
8.720327929918597,0.0
8.720328248419362,0.0
8.720328566920125,0.0
8.72032888542089,0.0
8.720329203921656,0.0
8.720329522422418,0.0
8.720329840923183,0.0
8.720330159423948,0.0
8.720330477924714,0.0
8.720330796425477,0.0
8.72033111492624,0.0
8.720331433427006,0.0
8.720331751927771,0.0
8.720332070428535,0.0
8.7203323889293,0.0
8.720332707430066,0.0
8.720333025930827,0.0
8.720333344431593,0.0
